"Pais","EstabilidadPolÃ­tica","Electoral","PoliticalparticiÂ­pation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","gastosocial","Desem","HDI","POB"
"Mozambique",-0.7836707,2.58,5,5,3.53,30.0043106496494,22.8399775722689,3.74131759312564,0.775389933070514,-0.823289573192596,-0.724764347076416,-0.801014542579651,0.5238,31.16,3.426,0.446,46.1
"Namibia",0.6537775,6.58,6.67,5.63,7.94,21.2718588457431,17.7236243887174,-0.256275905911707,-2.10626103998536,0.0966494902968407,-0.108908258378506,0.372481107711792,0.5,34.02,20.882,0.645,17.4
"Nepal",-0.6251459,4.83,5,5.63,5.59,46.0071839045849,31.4337263818327,8.22349948315457,6.78979819574086,-1.04519999027252,-0.701375126838684,-0.674093842506409,0.369,31.92,1.475,0.579,25.2
"Nicaragua",-0.8013505,1.25,3.89,5.63,4.12,48.0696753764641,26.7613691223327,4.63138368138509,3.30595171095914,-0.770874381065369,-0.689058125019073,-1.12184369564056,0.5238,27.3,4.7,0.651,24.9
"North Macedonia",-0.1966761,7,6.67,3.75,7.06,43.3471421842151,22.557943135967,1.08177273813243,1.02103616721902,-0.0024857537355274,0.508784472942352,-0.409463703632355,0.8333,30.29,26.068,0.759,22.2
"Paraguay",-0.1192975,8.75,5,4.38,7.35,36.0973562748898,19.1864486304479,4.95805142159847,3.59484709836791,-0.533756673336029,-0.20345801115036,-0.829310238361359,0.75,19.03,4.556,0.724,26.4
"Peru",-0.2593005,9.17,5.56,5.63,7.65,35.3430522959468,20.607596923788,2.51883544233135,0.829119680820753,-0.067545659840107,0.563906133174896,-0.447690784931183,0.7619,21.41,3,0.759,21.7
"Philippines",-1.121844,9.17,7.22,4.38,7.06,26.9562241814407,25.6429281897435,6.93098832586378,5.39642629946519,0.0529681704938412,0.00930815935134888,-0.573345541954041,0.75,21.77,3.068,0.712,21.6
"Poland",0.5450124,9.17,6.11,4.38,7.35,36.809539897569,17.5300889586604,4.93766324502775,4.92456773838559,0.601629197597504,1.0141236782074,0.602715015411377,0.9643,42,7.501,0.872,15
"Romania",0.0593082,9.17,5.56,4.38,7.65,33.8730815532395,22.4082251490478,7.11144063254122,7.74018264379484,-0.281243801116943,0.462053596973419,-0.128240466117859,0.8095,36,6.812,0.816,23.6
