"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"Dominican Republic",16.49,0.0347933,9.17,6.11,5,7.06,49.1059331678895,23.7302591559707,4.66670467732366,3.51792400301198,-0.357477992773056,-0.0535923987627029,-0.763216972351074,0.7738,7.605,0.745,30.5
"Ecuador",37.05,-0.0747498,8.75,6.11,4.38,7.06,NA,NA,NA,NA,-0.398584187030792,-0.823618710041046,-0.49641090631485,0.7976,3.616,0.758,23.2
"El Salvador",24.1,-0.3348508,9.17,6.11,3.75,7.06,39.0163626266666,16.0288159748911,2.24994225188968,1.73807806030517,-0.465440303087234,0.0216384865343571,-0.552564859390259,0.6786,3.998,0.667,29.2
"Equatorial Guinea",19.88,-0.0511222,0,3.33,4.38,1.47,6.1052197807501,13.9565530197219,-5.66750295652729,-9.16737037071277,-1.34201169013977,-1.52051615715027,-1.7228856086731,0.0714,6.644,0.588,76.8
"Eritrea",27.07,-0.6051562,0,1.67,6.88,1.18,NA,NA,NA,NA,-1.757368683815,-2.27491807937622,-1.39476656913757,0,5.338,0.434,69
"Estonia",39,0.5999668,9.58,6.67,6.88,8.53,38.1404161339068,24.8113018096761,5.74880209154125,5.62084882162608,1.1747465133667,1.59112417697906,1.54232931137085,1,6.187,0.882,21.8
"Ethiopia",16.08,-1.343246,0.42,5.56,5,2.65,33.2564096068506,38.443986368294,9.56418964295607,6.68450254520796,-0.63457727432251,-0.888970911502838,-0.40646505355835,0.3333,2.195,0.47,23.5
"Fiji",32.64,0.7425547,6.58,6.11,5.63,5.59,NA,NA,NA,NA,0.204097673296928,-0.217418104410172,0.558556616306305,0.4643,4.363,0.724,34
"Finland",53.3,0.9249202,10,8.89,8.75,9.71,38.5733078919611,23.2407708417539,3.10038358627367,2.85872103422278,1.92931294441223,1.85101509094238,2.15308141708374,0.9524,NA,NA,NA
"France",55.6,0.1091348,9.58,7.78,6.88,8.53,22.6808450825209,22.4958450176342,2.29141998537759,2.07682247990388,1.38461089134216,1.4402916431427,1.30096793174744,0.9048,NA,NA,NA
"Gabon",17.09,-0.2475997,2.58,4.44,5,3.82,14.8770918049239,21.4118164978258,0.479762270647498,-2.29157573813745,-0.897753238677979,-0.957122266292572,-0.935491442680359,0.2738,20.26,0.702,33.4
"Georgia",29.72,-0.4264878,7.83,6.11,4.38,5.59,57.1623437227572,25.4921298476998,4.84260322496586,4.82856985509574,NA,NA,NA,NA,16.506,0.786,21.9
"Germany",45.4,0.6048951,9.58,8.33,7.5,9.41,21.9410240586967,20.5205254869815,2.46503002917808,2.08280772084919,1.58530879020691,1.72305011749268,1.89547312259674,0.75,NA,NA,NA
"Ghana",21.45,0.0298971,8.33,6.67,6.25,6.18,33.6188416100701,20.5795459901747,8.14344654879852,5.76855148755246,-0.210104018449783,-0.111049562692642,-0.0790386348962784,0.631,6.806,0.596,23.4
"Greece",46.3,0.0925857,9.58,6.67,7.5,8.53,33.0082728103506,12.8971755236156,1.50509933940322,1.70605806398576,0.405590325593948,0.529878973960876,-0.0118191707879305,0.7857,NA,NA,NA
"Guatemala",12.33,-0.541353,6.92,3.89,4.38,6.47,53.9497732138322,13.6116529077485,3.02343068680067,1.36013893883829,-0.676840841770172,-0.224992647767067,-0.898420393466949,0.5,2.506,0.651,59.3
"Guinea",15.71,-0.8766674,3.5,4.44,4.38,2.94,NA,NA,NA,NA,-0.778745830059052,-0.769820928573608,-0.904965102672577,0.3095,4.434,0.466,55.2
"Guinea-Bissau",21.2,-0.6697532,4.92,2.78,3.13,2.35,23.7306596962583,8.93159183271927,5.9191766258605,3.27088724175688,-1.51444113254547,-1.2333345413208,-1.45398604869843,0.0833,2.604,0.461,69.3
"Haiti",19.26,-0.6268144,4.75,3.89,6.25,5.88,NA,NA,NA,NA,-2.01538848876953,-1.26067221164703,-1.33918261528015,0.2262,13.965,0.503,58.5
"Honduras",26.49,-0.550988,7.83,4.44,4.38,6.18,NA,NA,NA,NA,-0.611763119697571,-0.492732316255569,-0.808453261852264,0.4881,6.147,0.623,61.9
"Hungary",46.1,0.7552119,8.75,5,6.25,7.06,36.6280934243768,22.2261307589829,4.32280900057566,4.60053160751239,0.495365083217621,0.603486657142639,-0.00103515374939889,0.6786,6.813,0.845,14.9
"Iceland",41.9,1.412426,10,8.89,10,9.71,29.2213229137594,21.9905649541908,4.54598289368673,2.12230621978853,1.51827776432037,1.37298440933228,1.70797348022461,0.7738,NA,NA,NA
"India",26.18,-0.9565214,8.67,6.67,5.63,6.76,31.5357591365031,28.0679230856293,7.04382085538124,5.91239788601601,0.171554371714592,-0.160555705428123,-0.233253955841064,0.8571,5.565,0.647,21.9
